"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.582489,25.039373,"Taipei",2022,1,5,"cdround","https://www.inaturalist.org/observations/118256262","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802352134","118256262",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.533072,24.952847,"New Taipei",2022,2,25,"cdround","https://www.inaturalist.org/observations/107414960","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705496518","107414960",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.112028,24.008031,"Taiwan",2022,3,18,"cdround","https://www.inaturalist.org/observations/108916628","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3747299638","108916628",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.596984,25.100599,"Taipei",2022,3,21,"cdround","https://www.inaturalist.org/observations/115706842","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773545076","115706842",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",120.592281,22.93234,"Kaohsiung",2022,4,13,"cdround","https://www.inaturalist.org/observations/111381238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759289904","111381238",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.640175,24.75382,"Taiwan",2022,4,26,"","https://www.inaturalist.org/observations/113048328","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764190092","113048328",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.583829,24.754733,"New Taipei",2022,4,25,"cdround","https://www.inaturalist.org/observations/113086554","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764457152","113086554",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",120.832458,22.314205,"Taiwan",2022,4,26,"cdround","https://www.inaturalist.org/observations/115064952","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772546104","115064952",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",120.834633,22.31543,"Taiwan",2022,4,25,"cdround","https://www.inaturalist.org/observations/115065459","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773142930","115065459",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",107.52915,28.14317,"Guizhou",2022,4,27,"","https://www.inaturalist.org/observations/120939592","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858599013","120939592",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",120.640046,22.568802,"Taiwan",2022,4,26,"cdround","https://www.inaturalist.org/observations/121857551","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859786783","121857551",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",113.359658,23.231106,"Guangdong",2022,5,6,"cdround","https://www.inaturalist.org/observations/115864598","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772490059","115864598",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.11695,24.704175,"Taiwan",2022,5,1,"","https://www.inaturalist.org/observations/114508709","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772642292","114508709",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.608917,25.032883,"Taipei",2022,5,8,"cdround","https://www.inaturalist.org/observations/116074525","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773196537","116074525",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",114.293172,22.410545,"Tai Po",2022,5,7,"cdround","https://www.inaturalist.org/observations/115868851","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3773486214","115868851",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.116952,24.704202,"Taiwan",2022,5,1,"cdround","https://www.inaturalist.org/observations/114733441","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773572879","114733441",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",114.128216,22.423751,"Tai Po",2022,5,22,"cdround","https://www.inaturalist.org/observations/118544304","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802349289","118544304",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",113.464155,23.229388,"Guangdong",2022,5,19,"cdround","https://www.inaturalist.org/observations/117818175","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802542537","117818175",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",114.034954,22.594863,"Tsuen Wan",2022,5,18,"cdround,cudc","https://www.inaturalist.org/observations/118507730","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3802808469","118507730",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",117.104067,25.454343,"Fujian",2022,5,25,"cdround","https://www.inaturalist.org/observations/118930103","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858263282","118930103",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",120.593318,23.646617,"Taiwan",2022,5,31,"cdround","https://www.inaturalist.org/observations/119578823","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859446909","119578823",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",120.78778,24.389222,"Taiwan",2022,5,21,"","https://www.inaturalist.org/observations/119022884","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859857385","119022884",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.730943,24.614947,"Taiwan",2022,5,3,"cdround","https://www.inaturalist.org/observations/123203772","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860776911","123203772",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",119.055578,31.564542,"Jiangsu",2022,6,5,"cdround","https://www.inaturalist.org/observations/120934065","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858410996","120934065",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",119.016547,32.046636,"Jiangsu",2022,6,17,"cdround","https://www.inaturalist.org/observations/122643513","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858578373","122643513",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",113.962727,22.213938,"Islands",2022,6,27,"cdround","https://www.inaturalist.org/observations/123719385","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859011319","123719385",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.586988,25.131672,"Taipei",2022,6,19,"cdround","https://www.inaturalist.org/observations/122461905","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859181307","122461905",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.048837,24.746482,"Taiwan",2022,6,6,"","https://www.inaturalist.org/observations/120464715","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859215644","120464715",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.493636,25.197689,"New Taipei",2022,6,10,"cdround","https://www.inaturalist.org/observations/121055661","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859453092","121055661",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.158464,22.877617,"Taiwan",2022,6,4,"cdround","https://www.inaturalist.org/observations/120352226","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859681481","120352226",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",113.947853,22.206583,"Islands",2022,6,27,"cdround","https://www.inaturalist.org/observations/123779675","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859730395","123779675",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",119.0162,31.602401,"Jiangsu",2022,6,5,"cdround","https://www.inaturalist.org/observations/121373789","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859897307","121373789",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",113.811292,22.279349,"Islands",2022,6,26,"cdround","https://www.inaturalist.org/observations/123527420","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860474129","123527420",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",114.141254,22.274352,"Central and Western",2022,6,11,"cdround","https://www.inaturalist.org/observations/121347532","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860512384","121347532",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",118.941138,32.00975,"Jiangsu",2022,6,2,"cdround","https://www.inaturalist.org/observations/126600166","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874177254","126600166",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.34082,25.015997,"Taipei",2022,7,2,"cdround","https://www.inaturalist.org/observations/124406274","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858878920","124406274",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",114.199814,22.52936,"Tai Po",2022,7,5,"cdround","https://www.inaturalist.org/observations/125042065","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859278385","125042065",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas major",121.131122,24.724387,"Taiwan",2022,7,3,"","https://www.inaturalist.org/observations/124692175","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860350122","124692175",NA,NA,NA,NA,NA,NA,NA
