"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.590618,20.31713,"Ninh Binh",2022,4,15,"cdround","https://www.inaturalist.org/observations/111489943","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759437018","111489943",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",107.172821,22.580433,"Guangxi",2021,6,2,"cdround","https://www.inaturalist.org/observations/101870844","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747103482","101870844",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",106.983125,22.478095,"Guangxi",2020,9,18,"cdround","https://www.inaturalist.org/observations/113087344","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764416191","113087344",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.71907,20.240403,"Ninh Binh",2019,4,27,"cdround","https://www.inaturalist.org/observations/23306520","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2238836379","23306520",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.712042,20.254195,"Ninh Binh",2019,4,15,"cdround","https://www.inaturalist.org/observations/27300655","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2283033562","27300655",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.708009,20.258419,"Ninh Binh",2019,7,6,"cdround","https://www.inaturalist.org/observations/31433996","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397541428","31433996",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.714854,20.246736,"Ninh Binh",2019,9,6,"cdround","https://www.inaturalist.org/observations/38251855","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2574084005","38251855",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.369638,21.082234,"Ha N<U+1ED9>i",2018,6,7,"cdround","https://www.inaturalist.org/observations/17643927","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1978419199","17643927",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",107.904444,21.906389,"Guangxi",2018,11,17,"cdround","https://www.inaturalist.org/observations/18623224","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579279601","18623224",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.662616,20.29953,"Ninh Binh",2016,4,7,"cdround","https://www.inaturalist.org/observations/69562027","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044741162","69562027",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",107.590836,21.057366,"Qu<U+1EA3>ng Ninh",2014,10,11,"cdround","https://www.inaturalist.org/observations/63871732","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2981008687","63871732",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.684663,20.268017,"Ninh Binh",2013,4,30,"cdround","https://www.inaturalist.org/observations/17410580","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1978418839","17410580",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas multicincta",105.640701,21.459069,"Vinh Phuc",2013,7,10,"","https://www.inaturalist.org/observations/30862163","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2447835829","30862163",NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Ptyas multicincta",105.5848,23.0696,"Guangxi",2004,9,21,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686677234","291939","ASIA","ETOH - 1; tissue - 100","Jing Xin","Provincial Nature Reserve, Nian Wei station",NA,NA
