"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",129.627213,28.436305,"Kagoshima",2022,7,14,"cdround","https://www.inaturalist.org/observations/126611553","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873288677","126611553"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",129.42752,28.271478,"Kagoshima",2022,7,20,"cdround","https://www.inaturalist.org/observations/127177344","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874034540","127177344"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.252747,26.860413,"Okinawa",2021,5,24,"cdround","https://www.inaturalist.org/observations/80067631","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124783378","80067631"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.25525,26.858508,"Okinawa",2021,5,13,"cdround","https://www.inaturalist.org/observations/78574755","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124825476","78574755"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.1954,26.71427,"Okinawa",2020,6,19,"","https://www.inaturalist.org/observations/50231921","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802800377","50231921"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.252883,26.859987,"Okinawa",2020,6,21,"cdround","https://www.inaturalist.org/observations/50366194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802835117","50366194"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.252853,26.86043,"Okinawa",2020,8,22,"cdround","https://www.inaturalist.org/observations/57405784","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856705975","57405784"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.921669,27.840576,"Kagoshima",2018,8,11,"cdround","https://www.inaturalist.org/observations/73626258","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090918399","73626258"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.285698,26.785032,"Okinawa",2018,11,25,"cdround","https://www.inaturalist.org/observations/18672191","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1946347840","18672191"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.188614,26.738611,"Okinawa",2016,11,25,"cdround","https://www.inaturalist.org/observations/4672015","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453255782","4672015"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Ptyas semicarinata",128.187775,26.740555,"Okinawa",2016,11,25,"cdround","https://www.inaturalist.org/observations/4672032","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1572331746","4672032"
