"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.106866,22.523406,"Yuen Long",2022,2,24,"cdround","https://www.inaturalist.org/observations/107369377","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698307106","107369377",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.099747,22.528107,"Yuen Long",2022,2,12,"cdround","https://www.inaturalist.org/observations/107882573","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712431552","107882573",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.08033,22.573627,"Yuen Long",2022,2,12,"cdround","https://www.inaturalist.org/observations/112025374","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759781571","112025374",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",113.807369,22.249239,"Islands",2022,3,5,"cdround","https://www.inaturalist.org/observations/107953232","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712578604","107953232",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.004255,22.29718,"Tsuen Wan",2022,4,17,"cdround","https://www.inaturalist.org/observations/111729725","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3759338257","111729725",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.00399,22.221855,"Tsuen Wan",2022,4,11,"cdround","https://www.inaturalist.org/observations/111102308","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3760181651","111102308",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.32187,22.299554,"Sai Kung",2022,5,21,"cdround","https://www.inaturalist.org/observations/117958347","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802269685","117958347",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.10943,22.46383,"Tsuen Wan",2022,6,28,"cdround","https://www.inaturalist.org/observations/123967320","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859023601","123967320",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.380128,22.554097,"North",2022,6,23,"cdround,cudc","https://www.inaturalist.org/observations/123163692","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859952854","123163692",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Python bivittatus",114.023613,22.238462,"Tuen Mun",2022,6,1,"cdround","https://www.inaturalist.org/observations/119823470","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860206046","119823470",NA,NA,NA
