"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",113.941751,22.266934,"Islands",2022,1,26,"cdround","https://www.inaturalist.org/observations/105605855","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466279677","105605855",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.315165,22.522748,"Tai Po",2021,3,31,"cdround","https://www.inaturalist.org/observations/72599500","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3070406747","72599500",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.264237,22.307425,"Sai Kung",2021,3,14,"cdround","https://www.inaturalist.org/observations/77232350","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112943205","77232350",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.155348,22.385153,"Tsuen Wan",2021,4,3,"cdround","https://www.inaturalist.org/observations/73001026","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079866751","73001026",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.140054,22.444905,"Tai Po",2021,4,26,"cdround","https://www.inaturalist.org/observations/75755954","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112543526","75755954",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.117042,22.490217,"North",2021,5,5,"cdround","https://www.inaturalist.org/observations/77393240","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112792526","77393240",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.075375,22.424997,"Yuen Long",2021,5,13,"cdround","https://www.inaturalist.org/observations/78819389","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118250816","78819389",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.211813,22.246617,"Southern",2021,6,4,"cdround","https://www.inaturalist.org/observations/81684253","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302473118","81684253",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.194976,22.351541,"Wong Tai Sin",2021,7,2,"cdround","https://www.inaturalist.org/observations/85408252","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325563731","85408252",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Rhabdophis subminiatus",114.232407,22.254148,"Southern",2021,9,7,"cdround","https://www.inaturalist.org/observations/96189671","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384075261","96189671",NA,NA,NA,NA,NA,NA,NA
