"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.714503,33.518643,"Jeju",2022,4,30,"cdround","https://www.inaturalist.org/observations/113739890","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772423805","113739890",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.711392,33.514642,"Jeju",2022,4,30,"cdround","https://www.inaturalist.org/observations/113703607","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772755085","113703607",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.587005,36.556462,"Chungcheongbuk-do",2022,4,18,"cdround","https://www.inaturalist.org/observations/111911364","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772835611","111911364",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.714521,33.51863,"Jeju",2022,4,30,"","https://www.inaturalist.org/observations/113736595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773318880","113736595",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.714409,33.518729,"Jeju",2022,4,30,"cdround","https://www.inaturalist.org/observations/113704977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773350890","113704977",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.544435,33.52209,"Jeju",2022,4,30,"cdround","https://www.inaturalist.org/observations/116388776","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773696164","116388776",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.717925,33.454642,"Jeju",2022,5,1,"cdround","https://www.inaturalist.org/observations/114116196","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772689005","114116196",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.722365,33.453117,"Jeju",2022,5,1,"cdround","https://www.inaturalist.org/observations/114120332","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773529482","114120332",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.320761,33.937599,"Jeollanam-do",2022,5,1,"cdround","https://www.inaturalist.org/observations/114056015","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773700537","114056015",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.310429,37.162103,"Incheon",2022,5,15,"cdround","https://www.inaturalist.org/observations/117136766","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784922991","117136766",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.506612,33.478192,"Jeju",2022,6,12,"cdround","https://www.inaturalist.org/observations/121386645","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858505389","121386645",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.486153,33.487319,"Jeju",2022,6,11,"cdround","https://www.inaturalist.org/observations/121233825","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859726276","121233825",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.571562,33.313968,"Jeju",2022,6,18,"cdround","https://www.inaturalist.org/observations/127059298","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873263158","127059298",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.281916,33.287607,"Jeju",2022,7,12,"cdround","https://www.inaturalist.org/observations/126931151","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873175559","126931151",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.281665,33.292303,"Jeju",2022,7,18,"cdround","https://www.inaturalist.org/observations/126932628","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874206290","126932628",NA,NA,NA,NA,NA
