"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","gbifID"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.092036,24.614959,2017,6,23,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864148884"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.09408,24.57505,2017,6,23,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864149032"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.417549,24.643882,2017,7,19,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864150848"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.28202,24.66769,2017,8,10,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864152417"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.51487,25.18212,2017,8,12,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864152462"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",120.79515,23.67811,2017,8,31,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153494"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.511367,24.801761,2016,5,31,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864137574"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.081116,24.623875,2016,6,1,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864137430"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.118653,24.55852,2016,6,3,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864137721"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.424962,24.650341,2016,6,27,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138225"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.440334,24.205534,2016,6,22,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138344"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.424225,24.649356,2016,6,25,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138369"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",120.9545,24.23479,2016,7,25,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864139642"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.408006,24.831174,2016,10,8,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864141322"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.481576,24.640296,2015,6,18,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864129093"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.407505,24.671065,2015,6,28,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864129548"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.199074,23.050322,2015,11,17,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864133590"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.722409,24.973357,2014,5,18,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119473"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.40615,24.65651,2014,5,29,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119951"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.409889,24.652371,2014,5,30,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864120031"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.35698,24.406133,2014,6,5,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864120202"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.522924,25.182543,2014,6,14,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864120390"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus hatori",121.098418,24.533928,2014,6,2,"cudc,gass84,rdativ,osiic","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864120407"
