"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","locality","preparations","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",119.447751,30.326831,"Zhejiang",2022,6,12,"cdround","https://www.inaturalist.org/observations/121374679","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859619285","121374679",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",113.36353,23.27952,"Guangdong",2021,4,13,"cdround","https://www.inaturalist.org/observations/77802372","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113475781","77802372",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",114.17077,22.580658,"Guangdong",2021,4,27,"cdround","https://www.inaturalist.org/observations/108653648","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743085907","108653648",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",113.356482,23.323495,"Guangdong",2021,5,28,"cdround","https://www.inaturalist.org/observations/82126701","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302438121","82126701",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",119.495725,26.656793,"Fujian",2021,6,14,"cdround","https://www.inaturalist.org/observations/109467325","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747117605","109467325",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",113.375853,23.361872,"Guangdong",2021,11,20,"cdround","https://www.inaturalist.org/observations/101702021","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415892956","101702021",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",113.218891,23.370605,"Guangdong",2021,11,20,"cdround","https://www.inaturalist.org/observations/101701776","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3416227001","101701776",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",114.086097,22.841245,"Guangdong",2020,5,9,"cdround","https://www.inaturalist.org/observations/53699100","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2823082093","53699100",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",113.384195,23.256155,"Guangdong",2020,8,2,"","https://www.inaturalist.org/observations/55236534","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2850616956","55236534",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus macclellandi",114.33205,22.888548,"Guangdong",2020,8,21,"cdround","https://www.inaturalist.org/observations/90805234","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3407935490","90805234",NA,NA,NA,NA,NA
