"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.721859,23.491319,"Taiwan",2022,5,1,"cdround","https://www.inaturalist.org/observations/122610059","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860275424","122610059",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.407957,24.733864,"Taipei",2022,6,18,"cdround","https://www.inaturalist.org/observations/122426061","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860335293","122426061",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.418609,24.616074,"Taipei",2022,6,19,"cdround","https://www.inaturalist.org/observations/122444871","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860679306","122444871",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.522112,25.184187,"New Taipei",2022,7,20,"cdround","https://www.inaturalist.org/observations/127203371","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873943257","127203371",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.912106,23.526574,"Taiwan",2021,4,12,"cdround","https://www.inaturalist.org/observations/73733435","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3090681525","73733435",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.952984,24.535617,"Taiwan",2021,6,27,"cdround","https://www.inaturalist.org/observations/84660895","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3321201910","84660895",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.582939,24.716371,"Taipei",2021,7,13,"cdround","https://www.inaturalist.org/observations/86959242","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3328090400","86959242",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.435073,24.739813,"Taipei",2021,7,25,"cdround","https://www.inaturalist.org/observations/88641828","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333307095","88641828",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.576779,24.666247,"Taipei",2021,7,27,"cdround","https://www.inaturalist.org/observations/88812315","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333545309","88812315",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.105201,22.925877,"Taiwan",2021,8,24,"cdround","https://www.inaturalist.org/observations/100045178","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3407953104","100045178",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.681667,22.420545,"Taiwan",2021,8,28,"cdround","https://www.inaturalist.org/observations/104099514","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455968224","104099514",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.908975,23.526032,"Taiwan",2020,6,12,"cdround","https://www.inaturalist.org/observations/49337158","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802823960","49337158",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.582247,24.61482,"Taiwan",2020,6,17,"cdround","https://www.inaturalist.org/observations/50023549","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963789372","50023549",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.731049,23.057754,"Kaohsiung",2020,6,24,"cdround","https://www.inaturalist.org/observations/66190515","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2999142854","66190515",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.916728,23.279611,"Kaohsiung",2020,7,18,"cdround","https://www.inaturalist.org/observations/60390668","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868259171","60390668",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.62279,23.444598,"Taiwan",2019,4,5,"cdround","https://www.inaturalist.org/observations/22063826","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2236220797","22063826",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.75175,23.066545,"Kaohsiung",2019,4,13,"cdround","https://www.inaturalist.org/observations/87512947","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330495946","87512947",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.069772,23.152394,"Taiwan",2019,6,27,"cdround","https://www.inaturalist.org/observations/48230830","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634513072","48230830",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.433668,24.647569,"Taipei",2019,6,8,"cdround","https://www.inaturalist.org/observations/48663710","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2641530831","48663710",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.358026,24.625093,"Taipei",2019,7,1,"cdround","https://www.inaturalist.org/observations/48229568","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2634119041","48229568",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.774157,24.862178,"New Taipei",2019,11,10,"","https://www.inaturalist.org/observations/35851287","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2460117396","35851287",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.155109,22.890525,"Taiwan",2019,12,29,"cdround","https://www.inaturalist.org/observations/37050290","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2543041084","37050290",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.730989,23.059358,"Kaohsiung",2018,11,24,"cdround","https://www.inaturalist.org/observations/66919275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3008468951","66919275",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.07776,23.14621,NA,2017,5,12,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864146597",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.12676,23.13562,NA,2017,5,12,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147022",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.699976,23.023389,NA,2017,5,22,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147145",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.70213,23.47523,NA,2017,7,15,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864150267",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.457229,25.190855,"New Taipei",2017,7,13,"cdround","https://www.inaturalist.org/observations/86119145","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325882455","86119145",NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",121.246309,24.256804,NA,2017,8,3,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864151936",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.66736,23.43988,NA,2017,8,22,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864152915",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.918845,24.2464,NA,2017,9,6,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864153618",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.798624,23.627417,NA,2016,4,21,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864136331",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.709238,22.418226,NA,2016,5,14,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864136867",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.70356,23.031039,NA,2016,5,29,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864137537",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.97621,24.22784,NA,2016,6,26,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138234",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Sinomicrurus sauteri",120.990565,24.259811,NA,2016,6,26,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138246",NA,NA,NA,NA,NA,NA
