"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.09555,22.423281,"Yuen Long",2022,3,31,"cdround","https://www.inaturalist.org/observations/110098689","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759977526","110098689",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.397084,31.093135,"Hubei",2022,3,26,"","https://www.inaturalist.org/observations/112924446","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764369006","112924446",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.234044,22.390931,"Sha Tin",2022,4,23,"","https://www.inaturalist.org/observations/112527691","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764234666","112527691",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.181388,22.42729,"Tai Po",2022,4,30,"cdround","https://www.inaturalist.org/observations/114648940","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773530450","114648940",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.181199,22.42741,"Tai Po",2022,5,4,"","https://www.inaturalist.org/observations/115343285","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773143536","115343285",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.206066,22.519881,"Tai Po",2022,5,6,"cdround","https://www.inaturalist.org/observations/115868845","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3773464003","115868845",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",121.573351,22.031728,"Taiwan",2022,5,21,"cdround","https://www.inaturalist.org/observations/117992303","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802689764","117992303",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.178276,22.499061,"North",2022,5,29,"cdround","https://www.inaturalist.org/observations/119252217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859390530","119252217",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.083331,22.307136,"Tsuen Wan",2022,5,31,"cdround","https://www.inaturalist.org/observations/119601536","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3860384864","119601536",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.181209,22.425747,"Tai Po",2022,5,29,"cdround","https://www.inaturalist.org/observations/119197367","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860453559","119197367",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Sphenomorphus incognitus",114.177838,22.414372,"Sha Tin",2021,3,26,"cdround","https://www.inaturalist.org/observations/72080918","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3070656427","72080918",NA,NA,NA,NA,NA
