"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","elevation","elevationAccuracy","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus luyeanus",121.536999,23.89957,"Taiwan",2021,11,18,"cdround","https://www.inaturalist.org/observations/101394161","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3415713516","101394161",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus luyeanus",121.535596,23.894922,"Taiwan",2020,10,20,"cdround","https://www.inaturalist.org/observations/63070887","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3355008450","63070887",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus luyeanus",121.389987,23.595015,"Taiwan",2018,10,23,"cdround","https://www.inaturalist.org/observations/17765267","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1932339517","17765267",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus luyeanus",121.627319,24.030612,"Taiwan",2017,3,15,"cdround","https://www.inaturalist.org/observations/36791309","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2540769730","36791309",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Takydromus luyeanus",121.40434,23.6179,NA,2017,4,28,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774345475",NA,"<U+6210><U+529F><U+6A4B>",NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Takydromus luyeanus",121.48957,23.73182,NA,2017,4,27,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774347475",NA,"<U+7BAD><U+745B><U+5927><U+6A4B>(<U+7334><U+6D1E>)",NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Takydromus luyeanus",121.46416,23.8086,NA,2017,4,27,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774352480",NA,"<U+65B0><U+8C50><U+5E73><U+5927><U+6A4B>",NA,NA,NA,NA,NA
"fe34f771-4df6-4f07-910b-12948dde2180","PRESERVED_SPECIMEN","PRESENT","Takydromus luyeanus",121.587667,24.003778,NA,2009,8,12,"cdround,gass84,colmano,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","779875228","KUZ R66539","Hualien, Hualien Count.",33,0,NA,NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Takydromus luyeanus",121.093,22.7597,"Tai-Tung Hsien",2004,7,13,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1318192303","USNM 565982","Taidong City",NA,NA,"ASIA","Ethanol","PhysicalObject"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Takydromus luyeanus",121.089,22.8964,"Tai-Tung Hsien",2004,7,13,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1321752707","USNM 565983","Luye",NA,NA,"ASIA","Ethanol","PhysicalObject"
