"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.229722,26.881731,"Okinawa",2022,2,15,"cdround","https://www.inaturalist.org/observations/106784673","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499529115","106784673",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.253986,26.734936,"Okinawa",2022,6,22,"cdround","https://www.inaturalist.org/observations/124719985","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858999217","124719985",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",127.644326,26.031132,"Okinawa",2022,7,9,"cdround","https://www.inaturalist.org/observations/125558844","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873345181","125558844",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",127.616086,26.164291,"Okinawa",2022,7,16,"cdround","https://www.inaturalist.org/observations/126483319","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873838930","126483319",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.216292,26.898363,"Okinawa",2021,1,1,"cdround","https://www.inaturalist.org/observations/67443856","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3018127721","67443856",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",127.94976,26.477686,"Okinawa",2021,6,8,"cdround","https://www.inaturalist.org/observations/82088946","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302219155","82088946",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.396245,26.88362,"Okinawa",2021,7,10,"cdround","https://www.inaturalist.org/observations/86506021","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327701919","86506021",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.234099,26.855825,"Okinawa",2021,7,7,"cdround","https://www.inaturalist.org/observations/86246269","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3327702658","86246269",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",127.966585,26.617593,"Okinawa",2021,7,7,"cdround","https://www.inaturalist.org/observations/87649676","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3330781053","87649676",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",127.809517,26.684205,"Okinawa",2021,7,17,"cdround","https://www.inaturalist.org/observations/107283854","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698364797","107283854",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.035817,26.734698,"Okinawa",2021,8,28,"cdround","https://www.inaturalist.org/observations/99884356","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3407928883","99884356",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",126.716051,26.297017,"Okinawa",2020,11,28,"cdround","https://www.inaturalist.org/observations/106176097","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3468699707","106176097",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",127.961756,26.725888,"Okinawa",2020,11,21,"cdround","https://www.inaturalist.org/observations/106175852","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3469046618","106175852",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.260764,26.938111,"Okinawa",2020,12,27,"cdround","https://www.inaturalist.org/observations/67298939","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3013877177","67298939",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.220875,26.780131,"Okinawa",2018,6,24,"cdround","https://www.inaturalist.org/observations/14252107","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1883499040","14252107",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",128.282207,26.797828,"Okinawa",2018,6,24,"cdround","https://www.inaturalist.org/observations/14252140","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990445486","14252140",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus smaragdinus",127.815638,26.543451,"Okinawa",2016,9,2,"cdround","https://www.inaturalist.org/observations/8572255","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1990646112","8572255",NA,NA,NA,NA,NA
