"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","elevation","elevationAccuracy","continent","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.52914,25.006936,"Taipei",2022,3,26,"cdround","https://www.inaturalist.org/observations/118256324","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802662092","118256324",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.59574,24.755676,"Taiwan",2022,4,14,"cdround","https://www.inaturalist.org/observations/111415716","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759756943","111415716",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.895792,24.942298,"Taiwan",2022,4,26,"cdround","https://www.inaturalist.org/observations/112947858","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764102023","112947858",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.59582,24.755692,"Taiwan",2022,4,14,"cdround","https://www.inaturalist.org/observations/111416020","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764206436","111416020",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.89621,24.942553,"Taiwan",2022,4,29,"cdround","https://www.inaturalist.org/observations/124188446","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860553707","124188446",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.783591,25.191544,"Taiwan",2022,5,31,"cdround","https://www.inaturalist.org/observations/119538918","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859480799","119538918",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.595296,24.756437,"New Taipei",2022,6,10,"cdround","https://www.inaturalist.org/observations/121735544","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3858604700","121735544",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.594028,25.122593,"Taipei",2022,7,4,"cdround","https://www.inaturalist.org/observations/124804373","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873504951","124804373",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.509925,25.285855,"New Taipei",2021,4,26,"","https://www.inaturalist.org/observations/87373315","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335063526","87373315",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.510115,25.28928,"New Taipei",2021,4,23,"","https://www.inaturalist.org/observations/87371089","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335344527","87371089",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.50957,25.28697,"New Taipei",2021,4,23,"","https://www.inaturalist.org/observations/87371078","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335353513","87371078",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.509468,25.287515,"New Taipei",2021,4,21,"cdround","https://www.inaturalist.org/observations/87370476","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335388528","87370476",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.511617,25.288618,"New Taipei",2021,4,23,"cdround","https://www.inaturalist.org/observations/87371095","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3335437523","87371095",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.596787,25.1658,"New Taipei",2021,5,1,"cdround","https://www.inaturalist.org/observations/76106752","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112375897","76106752",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.566994,25.266444,"New Taipei",2021,5,8,"cdround","https://www.inaturalist.org/observations/77857495","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113337863","77857495",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus viridipunctatus",121.499979,24.936076,"New Taipei",2021,5,14,"cdround","https://www.inaturalist.org/observations/79387801","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118324545","79387801",NA,NA,NA,NA,NA,NA
