"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","continent","preparations","locality","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.187878,33.320102,"Jeju",2022,3,16,"cdround","https://www.inaturalist.org/observations/108701955","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759884924","108701955",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.993764,36.025438,"Jeollabuk-do",2022,4,17,"cdround","https://www.inaturalist.org/observations/111786992","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759744319","111786992",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.711582,33.54222,"Jeju",2022,4,3,"cdround","https://www.inaturalist.org/observations/112130309","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759828642","112130309",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",127.382655,37.686833,"Gyeonggi-do",2022,4,2,"cdround","https://www.inaturalist.org/observations/110755851","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760160277","110755851",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.994003,36.025592,"Jeollabuk-do",2022,4,18,"cdround","https://www.inaturalist.org/observations/112350248","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764550470","112350248",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",131.192622,42.607956,"Primor'ye",2022,5,20,"cdround","https://www.inaturalist.org/observations/117974746","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802591681","117974746",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.603687,37.221682,"Gyeonggi-do",2022,5,28,"cdround","https://www.inaturalist.org/observations/124645326","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859303108","124645326",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",127.74432,37.870859,"Gangwon-do",2022,6,17,"cdround","https://www.inaturalist.org/observations/122134113","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860460001","122134113",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",127.506032,36.664622,"Chungcheongbuk-do",2022,7,11,"cdround","https://www.inaturalist.org/observations/125790573","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873787760","125790573",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.296971,33.325402,"Jeju",2022,7,23,"cdround","https://www.inaturalist.org/observations/128091610","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881361578","128091610",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",127.086403,34.715408,"Jeollanam-do",2021,4,24,"cdround","https://www.inaturalist.org/observations/75145315","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3109080839","75145315",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",127.468652,36.613413,"Chungcheongbuk-do",2021,4,5,"cdround","https://www.inaturalist.org/observations/72992350","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3398740540","72992350",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.550236,33.422504,"Jeju",2021,4,9,"","https://www.inaturalist.org/observations/89471999","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759188667","89471999",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.672997,37.39651,"Incheon",2021,7,15,"cdround","https://www.inaturalist.org/observations/87164077","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3328053623","87164077",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.71204,33.524543,"Jeju",2021,7,18,"cdround","https://www.inaturalist.org/observations/87501218","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333284577","87501218",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",126.282348,33.287183,"Jeju",2021,7,22,"cdround","https://www.inaturalist.org/observations/90742234","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759057671","90742234",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Takydromus wolteri",127.50311,36.673439,"Chungcheongbuk-do",2021,9,20,"cdround","https://www.inaturalist.org/observations/95521366","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3398744892","95521366",NA,NA,NA,NA,NA,NA
