"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","preparations","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",101.268535,21.925981,"Yunnan",2021,2,19,"cdround","https://www.inaturalist.org/observations/106732178","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499475160","106732178",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",101.270673,21.918069,"Yunnan",2021,12,12,"cdround","https://www.inaturalist.org/observations/103665347","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456054114","103665347",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",101.25145,21.935914,"Yunnan",2020,5,5,"cdround","https://www.inaturalist.org/observations/109400751","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747316010","109400751",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",100.889381,22.244389,"Yunnan",2020,9,20,"cdround","https://www.inaturalist.org/observations/60304133","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3408200372","60304133",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",101.237564,21.98902,"Yunnan",2019,5,1,"cdround","https://www.inaturalist.org/observations/109226643","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747214154","109226643",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",101.584822,21.734263,"Yunnan",2019,7,17,"cdround","https://www.inaturalist.org/observations/28993749","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784997311","28993749",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",101.25,21.93,"Yunnan",2014,7,21,"","https://www.inaturalist.org/observations/126080825","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3873255219","126080825",NA,NA,NA,NA,NA
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Trimeresurus popeiorum",101.8788,21.3267,"Phongsali",2012,10,21,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/80734","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","895453885","80734","ASIA","Boun Tai","Nam Lan Conservation Area, Ban Na Ten Village, Houay Fak Nai Stream, 685 m elevation",NA,NA
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Trimeresurus popeiorum",101.8781,21.3271,"Phongsali",2012,10,21,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/80735","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","895453902","80735","ASIA","Boun Tai","Nam Lan Conservation Area, Ban Na Ten Village, Houay Fak Nai Stream",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus popeiorum",102.221833,21.6379,"Phongsali",2004,7,17,"cdround","https://www.inaturalist.org/observations/96551","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070494309","96551",NA,NA,NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Trimeresurus popeiorum",101.074219,22.731857,"Yunnan",2002,6,17,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211766984","41496","ASIA","S. Simao","Simao, 12.3 km SE of Simao","Whole specimen (ETOH); Tissue","PhysicalObject"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Trimeresurus popeiorum",100.906677,22.77998,"Yunnan",2002,6,14,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211767065","41495","ASIA","S. Simao","Simao, 8.8 km W of Simao","Whole specimen (ETOH); Tissue","PhysicalObject"
