"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.595918,22.932341,"Kaohsiung",2022,1,12,"cdround","https://www.inaturalist.org/observations/104854732","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455672561","104854732",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.591738,22.929904,"Kaohsiung",2022,1,12,"cdround","https://www.inaturalist.org/observations/104854731","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455714588","104854731",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.596425,22.931899,"Kaohsiung",2022,1,12,"cdround","https://www.inaturalist.org/observations/104854733","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455756738","104854733",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.754891,24.617449,"Taiwan",2022,1,2,"cdround","https://www.inaturalist.org/observations/104177775","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456483364","104177775",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.04807,24.825885,"Taiwan",2022,1,5,"cdround","https://www.inaturalist.org/observations/104744140","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456495192","104744140",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.144083,22.75403,"Taiwan",2022,1,18,"cdround","https://www.inaturalist.org/observations/105161675","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456852301","105161675",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.740268,24.798793,"Taiwan",2022,1,2,"cdround","https://www.inaturalist.org/observations/104176986","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457105003","104176986",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.755082,24.617927,"Taiwan",2022,1,26,"cdround","https://www.inaturalist.org/observations/105620599","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466178580","105620599",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.266456,23.142342,"Taiwan",2022,1,13,"cdround","https://www.inaturalist.org/observations/105303458","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466199832","105303458",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.397669,23.717625,"Taiwan",2022,1,26,"cdround","https://www.inaturalist.org/observations/105609766","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466485325","105609766",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.141114,23.1333,"Taiwan",2022,1,26,"cdround","https://www.inaturalist.org/observations/105617789","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3466486572","105617789",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.014384,22.704578,"Taiwan",2022,1,18,"cdround","https://www.inaturalist.org/observations/107405979","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3705384513","107405979",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.569404,25.138632,"Taipei",2022,1,5,"cdround","https://www.inaturalist.org/observations/118256267","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802325120","118256267",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.533578,25.23833,"New Taipei",2022,2,14,"cdround","https://www.inaturalist.org/observations/106739766","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3499364999","106739766",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.59594,22.932302,"Kaohsiung",2022,2,21,"cdround","https://www.inaturalist.org/observations/107239110","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3698147783","107239110",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.43389,25.167371,"Taipei",2022,2,28,"cdround","https://www.inaturalist.org/observations/118256278","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802493034","118256278",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.487384,25.114238,"Taipei",2022,2,28,"cdround","https://www.inaturalist.org/observations/118256273","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802541145","118256273",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.462598,25.051533,"Taipei",2022,2,28,"cdround","https://www.inaturalist.org/observations/118256280","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802559090","118256280",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.546402,25.153462,"Taipei",2022,3,5,"cdround","https://www.inaturalist.org/observations/107946447","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3712648639","107946447",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.129257,30.183242,"Zhejiang",2022,3,16,"cdround","https://www.inaturalist.org/observations/108731616","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743070174","108731616",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.117028,24.892817,"Taipei",2022,3,17,"cdround","https://www.inaturalist.org/observations/108778356","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743083901","108778356",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.754903,24.617935,"Taiwan",2022,3,4,"cdround","https://www.inaturalist.org/observations/108779005","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743239337","108779005",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.11702,24.892892,"Taipei",2022,3,16,"cdround","https://www.inaturalist.org/observations/108716945","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743262079","108716945",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.596247,22.932243,"Kaohsiung",2022,3,9,"cdround","https://www.inaturalist.org/observations/108351658","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743317459","108351658",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.591736,22.930297,"Kaohsiung",2022,3,9,"cdround","https://www.inaturalist.org/observations/108351654","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743326504","108351654",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.814942,24.461278,"Taiwan",2022,3,20,"cdround","https://www.inaturalist.org/observations/109137863","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3746960994","109137863",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.277286,22.636131,"Kaohsiung",2022,3,22,"cdround","https://www.inaturalist.org/observations/109337977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3746987854","109337977",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.845561,24.147723,"Taichung",2022,3,18,"cdround","https://www.inaturalist.org/observations/108869794","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747333518","108869794",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.81758,24.260788,"Taichung",2022,3,26,"cdround","https://www.inaturalist.org/observations/109521826","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759500953","109521826",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",120.678678,23.531672,"Taiwan",2022,3,30,"cdround","https://www.inaturalist.org/observations/109916445","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760197415","109916445",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.75487,24.617923,"Taiwan",2022,3,27,"cdround","https://www.inaturalist.org/observations/116413285","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773802006","116413285",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimeresurus stejnegeri",121.569128,25.140981,"Taipei",2022,3,1,"cdround","https://www.inaturalist.org/observations/118256289","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802562957","118256289",NA,NA,NA,NA,NA,NA,NA
