"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","county","preparations","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",121.027239,23.859863,"Taiwan",2022,4,24,"cdround","https://www.inaturalist.org/observations/112649638","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764356739","112649638",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",121.547074,24.640133,"New Taipei",2022,4,23,"cdround","https://www.inaturalist.org/observations/113184643","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3764416270","113184643",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",114.118436,22.432227,"Tai Po",2022,4,30,"cdround","https://www.inaturalist.org/observations/115683274","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773758748","115683274",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",114.146441,22.391843,"Tsuen Wan",2022,5,8,"cdround","https://www.inaturalist.org/observations/116358711","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773113917","116358711",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",121.577421,24.629722,"New Taipei",2022,5,29,"cdround","https://www.inaturalist.org/observations/119845469","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858336112","119845469",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",114.020716,22.249421,"Tsuen Wan",2022,6,2,"cdround","https://www.inaturalist.org/observations/121588159","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858517624","121588159",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",121.842671,24.973942,"New Taipei",2022,6,14,"cdround","https://www.inaturalist.org/observations/121699578","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858663673","121699578",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",114.140677,22.376014,"Kwai Tsing",2022,6,11,"cdround","https://www.inaturalist.org/observations/121588327","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858774688","121588327",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",114.041474,22.383402,"Tsuen Wan",2022,6,29,"cdround","https://www.inaturalist.org/observations/124082248","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859597695","124082248",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",114.04847,22.258383,"Tsuen Wan",2022,6,29,"cdround","https://www.inaturalist.org/observations/124082246","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859956651","124082246",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",120.779247,23.726224,"Taiwan",2022,6,19,"cdround","https://www.inaturalist.org/observations/122460640","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3872949680","122460640",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",121.737772,24.780746,"Taiwan",2022,7,3,"cdround","https://www.inaturalist.org/observations/124538485","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858772144","124538485",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",121.422288,25.196254,"Taipei",2022,7,13,"cdround","https://www.inaturalist.org/observations/126048984","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873179740","126048984",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",114.109017,22.386513,"Tsuen Wan",2022,7,20,"cdround","https://www.inaturalist.org/observations/127339045","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873230020","127339045",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Trimerodytes percarinatus",121.488759,25.046634,"Taipei",2022,7,13,"cdround","https://www.inaturalist.org/observations/126169685","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873778545","126169685",NA,NA,NA,NA,NA,NA,NA
