objectid,species,sp_kor,long,lat,조사일자,조사년도,시도명
5995,"Hynobius leechii Boulenger, 1887",도롱뇽,127.705456,37.682036,2014,2014,강원도
504,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.661889,37.935722,2014,2014,강원도
5977,"Hynobius leechii Boulenger, 1887",도롱뇽,127.652183,37.650247,2014,2014,강원도
4175,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.799889,37.728306,2014,2014,강원도
3172,"Hynobius leechii Boulenger, 1887",도롱뇽,127.781667,37.731583,2014,2014,강원도
8377,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.854389,37.972389,2014,2014,강원도
3398,"Hynobius leechii Boulenger, 1887",도롱뇽,127.811528,37.704889,2014,2014,강원도
12078,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.689361,37.964417,2014,2014,강원도
3392,"Hynobius leechii Boulenger, 1887",도롱뇽,127.826722,37.662972,2014,2014,강원도
12100,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.712556,37.991167,2014,2014,강원도
1175,"Hynobius leechii Boulenger, 1887",도롱뇽,127.642389,37.774611,2014,2014,강원도
1192,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.603472,37.821861,2014,2014,강원도
512,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.613806,37.982639,2014,2014,강원도
16635,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.805194,37.924,2014,2014,강원도
1140,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.666806,37.713222,2014,2014,강원도
1137,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.662028,37.712253,2014,2014,강원도
1154,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.582083,37.740944,2014,2014,강원도
12055,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.773889,37.940194,2014,2014,강원도
1170,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.642389,37.774611,2014,2014,강원도
5979,"Dinodon rufozonatum (Cantor, 1842)",능구렁이,127.705472,37.653417,2014,2014,강원도
1182,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.569028,37.815556,2014,2014,강원도
8374,"Elaphe dione (Pallas, 1773)",누룩뱀,127.854389,37.972389,2014,2014,강원도
1186,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.603472,37.821861,2014,2014,강원도
8387,"Elaphe dione (Pallas, 1773)",누룩뱀,127.813139,37.980556,2014,2014,강원도
1206,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.574444,37.846667,2014,2014,강원도
8375,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.854389,37.972389,2014,2014,강원도
9055,"Hynobius leechii Boulenger, 1887",도롱뇽,127.657694,37.8635,2014,2014,강원도
3192,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.740694,37.773306,2014,2014,강원도
9053,"Hyla japonica G?nther, 1859",청개구리,127.657694,37.8635,2014,2014,강원도
3187,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.698139,37.772917,2014,2014,강원도
3165,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.711778,37.723306,2014,2014,강원도
12110,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.66375,37.994833,2014,2014,강원도
3171,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.781667,37.731583,2014,2014,강원도
12054,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.773889,37.940194,2014,2014,강원도
3205,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.696,37.817528,2014,2014,강원도
3174,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.781667,37.731583,2014,2014,강원도
3220,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.755222,37.841972,2014,2014,강원도
503,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.661889,37.935722,2014,2014,강원도
3227,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.729833,37.8425,2014,2014,강원도
5974,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.652139,37.646583,2014,2014,강원도
3389,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.7715,37.635861,2014,2014,강원도
12111,"Gloydius brevicaudus (Stejneger, 1907)",살모사,127.66375,37.994833,2014,2014,강원도
12603,"Bombina orientalis (Boulenger, 1890)",무당개구리,127.579917,37.977667,2014,2014,강원도
16625,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.785778,37.903667,2014,2014,강원도
4166,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.868389,37.690444,2014,2014,강원도
521,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.613806,37.982639,2014,2014,강원도
4169,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.851389,37.718111,2014,2014,강원도
4226,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,127.795639,37.858111,2014,2014,강원도
4177,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.872778,37.774056,2014,2014,강원도
1138,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.662028,37.712253,2014,2014,강원도
4185,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.8125,37.775528,2014,2014,강원도
12607,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.579917,37.977667,2014,2014,강원도
4197,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,127.773694,37.799722,2014,2014,강원도
4184,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,127.872778,37.774056,2014,2014,강원도
