"","species","long","lat","pa"
"1","G.brevicauda",127.66375,37.994833,1
"2","G.brevicauda",127.618639,37.752222,1
"3","G.brevicauda",127.729833,37.8425,1
"4","G.brevicauda",127.569028,37.815556,1
"5","G.brevicauda",127.589861,37.845833,1
"6","G.brevicauda",127.693944,37.914139,1
"7","G.brevicauda",128.804736,37.893283,1
"8","G.brevicauda",128.23392,37.58253,1
"9","G.brevicauda",127.865756,38.218242,1
"10","G.brevicauda",128.455047,38.339397,1
"11","G.brevicauda",128.666528,37.419069,1
"12","G.brevicauda",129.012292,37.488825,1
"13","G.brevicauda",128.363028,37.219217,1
"14","G.brevicauda",129.066583,37.234797,1
"15","G.brevicauda",128.490292,37.145639,1
"16","G.brevicauda",127.533667,37.949417,1
"17","G.brevicauda",127.103514,37.695817,1
"18","G.brevicauda",127.598472,37.641111,1
"19","G.brevicauda",127.588917,37.931222,1
"20","G.brevicauda",126.949233,36.934661,1
"21","G.brevicauda",127.221872,37.549428,1
"22","G.brevicauda",126.966508,36.941086,1
"23","G.brevicauda",126.782133,37.896731,1
"24","G.brevicauda",127.407858,37.044625,1
"25","G.brevicauda",127.174422,37.035764,1
"26","G.brevicauda",127.257728,37.029836,1
"27","G.brevicauda",127.540444,37.48875,1
"28","G.brevicauda",127.34825,37.265806,1
"29","G.brevicauda",127.429183,37.011256,1
"30","G.brevicauda",127.535386,37.147108,1
"31","G.brevicauda",127.402275,37.021889,1
"32","G.brevicauda",127.566378,37.144186,1
"33","G.brevicauda",127.209536,37.033125,1
"34","G.brevicauda",127.431244,37.097489,1
"35","G.brevicauda",127.317708,37.030825,1
"36","G.brevicauda",128.026389,35.544167,1
"37","G.brevicauda",128.156944,35.405,1
"38","G.brevicauda",128.023333,35.513056,1
"39","G.brevicauda",128.053889,35.484444,1
"40","G.brevicauda",127.681975,35.722714,1
"41","G.brevicauda",128.081111,35.510278,1
"42","G.brevicauda",127.823986,35.689942,1
"43","G.brevicauda",128.141944,35.478611,1
"44","G.brevicauda",128.063056,35.595,1
"45","G.brevicauda",128.102111,35.633028,1
"46","G.brevicauda",128.100556,35.455,1
"47","G.brevicauda",128.060833,35.568611,1
"48","G.brevicauda",128.031889,35.641056,1
"49","G.brevicauda",128.0975,35.601944,1
"50","G.brevicauda",128.022778,35.609167,1
"51","G.brevicauda",128.016111,35.483611,1
"52","G.brevicauda",128.710983,35.517811,1
"53","G.brevicauda",128.397231,35.558397,1
"54","G.brevicauda",128.364722,35.553333,1
"55","G.brevicauda",128.056944,35.526111,1
"56","G.brevicauda",128.129278,35.7645,1
"57","G.brevicauda",128.185278,35.442222,1
"58","G.brevicauda",128.148333,35.546111,1
"59","G.brevicauda",128.268889,35.574444,1
"60","G.brevicauda",128.271406,35.265233,1
"61","G.brevicauda",128.399803,35.323808,1
